Minnesota,College,Women,Division I,North Central,Western North Central DI,2018-03-07,20,1763,9,5,2018-03-14,19,1748,9,5,2018-03-21,18,1863,9,5,2018-03-28,21,1786,9,5,2018-04-03,21,1749,9,5,2018-06-03,23,1658,19,8
Florida,College,Women,Division I,Southeast,Florida DI,2018-03-07,35,1525,3,7,2018-03-14,48,1404,7,10,2018-03-21,43,1486,7,10,2018-03-28,27,1617,11,13,2018-04-03,23,1649,11,10,2018-06-03,24,1657,24,16
Clemson,College,Women,Division I,Atlantic Coast,Carolina DI,2018-03-07,34,1547,10,0,2018-03-14,27,1604,10,0,2018-03-21,34,1609,10,0,2018-03-28,36,1566,10,0,2018-04-03,42,1465,10,3,2018-06-03,25,1656,22,7
Washington,College,Women,Division I,Northwest,Cascadia DI,2018-03-07,17,1808,6,8,2018-03-14,17,1789,6,8,2018-03-21,16,1900,6,8,2018-03-28,20,1795,9,12,2018-04-03,22,1749,9,12,2018-06-03,26,1642,16,18
Auburn,College,Women,Division I,Southeast,Gulf Coast DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,35,1528,5,1,2018-03-21,35,1599,5,1,2018-03-28,23,1708,9,1,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,27,1633,18,2
Colorado College,College,Women,Division I,South Central,Rocky Mountain DI,2018-03-07,27,1618,8,10,2018-03-14,29,1593,8,10,2018-03-21,27,1693,8,10,2018-03-28,32,1589,9,15,2018-04-03,32,1546,9,15,2018-06-03,28,1614,17,18
California,College,Women,Division I,Southwest,NorCal DI,2018-03-07,24,1660,8,12,2018-03-14,24,1642,8,12,2018-03-21,23,1755,8,12,2018-03-28,24,1687,11,15,2018-04-03,25,1647,10,15,2018-06-03,29,1608,21,19
Cal Poly-SLO,College,Women,Division I,Southwest,SoCal DI,2018-03-07,22,1680,9,5,2018-03-14,22,1663,9,5,2018-03-21,21,1780,9,5,2018-03-28,30,1596,11,9,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,30,1604,20,15
Northwestern,College,Women,Division I,Great Lakes,Illinois DI,2018-03-07,38,1487,6,8,2018-03-14,42,1471,6,8,2018-03-21,37,1590,6,8,2018-03-28,33,1584,9,12,2018-04-03,31,1552,9,12,2018-06-03,31,1598,20,14
Georgia Tech,College,Women,Division I,Southeast,Southern Appalachian DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,36,1527,6,4,2018-03-21,33,1613,6,4,2018-03-28,39,1547,8,8,2018-04-03,34,1525,7,7,2018-06-03,32,1577,17,10
UCLA,College,Women,Division I,Southwest,SoCal DI,2018-03-07,30,1587,5,14,2018-03-14,31,1569,5,14,2018-03-21,29,1681,5,14,2018-03-28,28,1616,9,16,2018-04-03,28,1574,9,16,2018-06-03,33,1564,16,23
Notre Dame,College,Women,Division I,Great Lakes,Eastern Great Lakes DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,37,1523,6,4,2018-03-21,36,1591,6,4,2018-03-28,26,1658,13,4,2018-04-03,26,1640,12,4,2018-06-03,34,1557,20,7
Kennesaw State,College,Women,Division I,Southeast,Southern Appalachian DI,2018-03-07,44,1397,7,4,2018-03-14,47,1418,11,7,2018-03-21,42,1487,11,7,2018-03-28,43,1532,11,7,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,35,1553,20,8
Wisconsin,College,Women,Division I,North Central,Lake Superior DI,2018-03-07,25,1645,5,5,2018-03-14,25,1632,5,5,2018-03-21,24,1744,5,5,2018-03-28,37,1563,7,9,2018-04-03,40,1507,6,9,2018-06-03,36,1551,16,11
Williams,College,Women,Division III,New England,South New England DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,41,1537,5,1,2018-04-03,29,1558,9,2,2018-06-03,37,1510,22,3
Case Western Reserve,College,Women,Division I,Ohio Valley,Ohio DI,2018-03-07,48,1340,4,2,2018-03-14,52,1350,4,2,2018-03-21,45,1457,4,2,2018-03-28,51,1398,10,3,2018-04-03,37,1517,9,2,2018-06-03,38,1493,19,7
Bates,College,Women,Division III,New England,North New England DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,48,1427,7,0,2018-04-03,30,1554,13,0,2018-06-03,39,1464,23,2
Georgia,College,Women,Division I,Southeast,Southern Appalachian DI,2018-03-07,43,1462,12,6,2018-03-14,39,1493,12,6,2018-03-21,39,1564,12,6,2018-03-28,40,1546,12,6,2018-04-03,41,1485,14,9,2018-06-03,40,1459,23,14
Virginia,College,Women,Division I,Atlantic Coast,Virginia DI,2018-03-07,53,1256,7,9,2018-03-14,55,1303,7,9,2018-03-21,54,1359,7,10,2018-03-28,64,1320,9,14,2018-04-03,58,1301,9,14,2018-06-03,41,1445,21,16
Harvard,College,Women,Division I,New England,Metro Boston DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,65,1191,3,4,2018-03-21,61,1262,3,4,2018-03-28,46,1489,10,4,2018-04-03,46,1395,7,2,2018-06-03,42,1443,16,10
Duke,College,Women,Division I,Atlantic Coast,Carolina DI,2018-03-07,45,1392,10,3,2018-03-14,49,1392,10,3,2018-03-21,44,1478,10,3,2018-03-28,47,1438,10,3,2018-04-03,45,1396,14,6,2018-06-03,43,1440,21,10
North Carolina-Wilmington,College,Women,Division I,Atlantic Coast,Carolina DI,2018-03-07,36,1523,11,6,2018-03-14,46,1429,15,9,2018-03-21,40,1506,15,9,2018-03-28,45,1501,15,9,2018-04-03,39,1511,19,11,2018-06-03,44,1439,27,16
Southern California,College,Women,Division I,Southwest,SoCal DI,2018-03-07,31,1583,9,10,2018-03-14,32,1565,9,10,2018-03-21,28,1682,9,10,2018-03-28,38,1547,10,15,2018-04-03,38,1512,10,14,2018-06-03,45,1426,18,19
Iowa State,College,Women,Division I,North Central,Western North Central DI,2018-03-07,42,1463,7,8,2018-03-14,44,1446,7,8,2018-03-21,38,1571,7,8,2018-03-28,50,1410,8,13,2018-04-03,51,1366,8,13,2018-06-03,46,1424,15,18
Colorado State,College,Women,Division I,South Central,Rocky Mountain DI,2018-03-07,33,1552,8,5,2018-03-14,34,1537,8,5,2018-03-21,31,1654,8,5,2018-03-28,42,1533,10,9,2018-04-03,36,1518,10,8,2018-06-03,47,1420,14,15
Connecticut,College,Women,Division I,Metro East,Eastern Metro East DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,56,1359,5,2,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,48,1410,22,4
Penn State,College,Women,Division I,Ohio Valley,Pennsylvania DI,2018-03-07,39,1484,5,5,2018-03-14,43,1467,5,5,2018-03-21,32,1621,11,5,2018-03-28,31,1592,11,5,2018-04-03,33,1535,6,4,2018-06-03,49,1388,12,11
St Olaf,College,Women,Division III,North Central,North Central DIII,2018-03-07,91,823,1,5,2018-03-14,102,811,1,5,2018-03-21,89,967,1,5,2018-03-28,93,1063,5,6,2018-04-03,93,1045,4,6,2018-06-03,50,1378,16,7
Ottawa,College,Women,Division I,Metro East,Western NY DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,44,1531,5,1,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,51,1369,15,3
South Carolina,College,Women,Division I,Atlantic Coast,Carolina DI,2018-03-07,50,1326,11,4,2018-03-14,50,1378,11,4,2018-03-21,48,1417,11,4,2018-03-28,54,1369,11,4,2018-04-03,44,1408,7,2,2018-06-03,52,1369,14,8
Pennsylvania,College,Women,Division I,Ohio Valley,Pennsylvania DI,2018-03-07,65,1131,3,2,2018-03-14,68,1169,3,2,2018-03-21,62,1239,7,4,2018-03-28,74,1227,7,4,2018-04-03,68,1210,6,4,2018-06-03,53,1368,12,12
Utah,College,Women,Division I,Northwest,Big Sky DI,2018-03-07,60,1183,9,3,2018-03-14,69,1168,9,3,2018-03-21,56,1313,9,3,2018-03-28,57,1357,11,7,2018-04-03,54,1340,10,7,2018-06-03,54,1360,16,12
Victoria,College,Women,Division I,Northwest,Cascadia DI,2018-03-07,32,1577,3,4,2018-03-14,33,1560,3,4,2018-03-21,30,1675,3,4,2018-03-28,35,1575,5,8,2018-04-03,35,1519,5,8,2018-06-03,55,1346,9,16
Kansas,College,Women,Division I,South Central,Ozarks DI,2018-03-07,46,1353,13,7,2018-03-14,53,1322,13,7,2018-03-21,46,1454,13,7,2018-03-28,49,1410,13,7,2018-04-03,50,1367,11,7,2018-06-03,56,1342,20,12
Massachusetts,College,Women,Division I,New England,Greater New England DI,2018-03-07,64,1147,4,2,2018-03-14,62,1213,9,2,2018-03-21,60,1273,9,2,2018-03-28,75,1225,9,2,2018-04-03,65,1219,8,2,2018-06-03,57,1307,15,9
Florida State,College,Women,Division I,Southeast,Florida DI,2018-03-07,41,1470,5,1,2018-03-14,45,1434,10,3,2018-03-21,50,1397,13,4,2018-03-28,52,1391,13,4,2018-04-03,47,1390,8,1,2018-06-03,58,1307,15,8
Chicago,College,Women,Division I,Great Lakes,Illinois DI,2018-03-07,58,1203,5,12,2018-03-14,66,1187,5,12,2018-03-21,57,1306,5,12,2018-03-28,73,1228,5,12,2018-04-03,71,1170,5,12,2018-06-03,59,1281,13,16
