25,Carnegie Mellon,1612,College,Men,Division I,Ohio Valley,West Penn DI,20,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=9KTuMel%2bUDXbulzIW%2fnKF3dg0QICe5zMUdEXOEImQKY%3d
26,Stanford,1612,College,Men,Division I,Southwest,NorCal DI,25,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=2h8FipCKrZlWDpf9nI%2fv7r82dDRSP6St6SSXIflJMI0%3d
27,Northwestern,1608,College,Men,Division I,Great Lakes,Illinois DI,25,19,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=zu8nFa652hJPqtY2k1CBctp2H59I9YxTfbxskNpWM90%3d
28,Texas State,1605,College,Men,Division I,South Central,South Texas DI,24,8,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=LWBIe6S5v9iy4FhnhgUwocWyNuds%2bU2X7lYc7ydrQd8%3d
29,Bryant,1586,College,Men,Division III,New England,South New England DIII,25,2,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2b0IoPkbi20njbSfCuBbcb9UYGJfldoU2e7yKcI573OE%3d
30,Iowa,1582,College,Men,Division I,North Central,West Plains DI,20,8,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=q8eZqgHRftrSjCb%2bEOMx9GkBz5qzzUjGgcRuAjQO3L4%3d
31,Ohio State,1581,College,Men,Division I,Ohio Valley,Ohio DI,29,12,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=6R2ObHROzohbdJDwqVTAyxTeEBhNY4oSIWzetPaK7s0%3d
32,Western Washington,1568,College,Men,Division I,Northwest,Cascadia DI,20,14,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=n%2ffxgV0lsGG1guzwZx%2bc3S3CqhjNQ7PS0DJWClq0kZo%3d
33,Dartmouth,1555,College,Men,Division I,New England,North New England DIII,23,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=K4Y04eyIJeMIgBFdcPO5S46dmE3kSo%2fe%2foVzZfIbDhk%3d
34,Emory,1550,College,Men,Division I,Southeast,Southern Appalachian DI,18,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=udh%2fR03Lnm8Y9BZtTJWxQIo8Mezl7fkMFRFbaqEeUoM%3d
35,LSU,1545,College,Men,Division I,Southeast,Gulf Coast DI,19,16,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=G5S03REorg%2fkkayHrfD2HqzmFUlK8KNyASYGYLrdZR8%3d
36,Kennesaw State,1542,College,Men,Division I,Southeast,Southern Appalachian DI,24,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2fhfxMS9WKiBT1JuasCiwCQRIbY6%2bh%2bt7vB3c3hNgvCs%3d
37,Michigan,1540,College,Men,Division I,Great Lakes,Michigan DI,14,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=KqIo6KOjzESVIrkeMp61npQrdD%2fmq56UJFnQr5FT6LI%3d
38,Victoria,1532,College,Men,Division I,Northwest,Cascadia DI,16,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=0%2f7cJRC4PU6ok%2forlcAYxFxFSZOEakCqinpo%2bbNPQz4%3d
39,Middlebury,1527,College,Men,Division III,New England,North New England DIII,30,4,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=va1%2b%2b54lsfmq9xMGrySXoSfNZ%2f3HWSKbhJ37O6x7Pio%3d
40,California,1525,College,Men,Division I,Southwest,NorCal DI,28,20,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=nVyzN09e5EpJu3j5rDUFjXYvkUD6yP%2bwyEs%2fTTlDTLw%3d
41,Connecticut,1523,College,Men,Division I,Metro East,Hudson Valley DI,26,17,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=tadrPgKPPf6rwWkgsdeIPkcbljMySEhgMCLafNGnnF8%3d
42,Notre Dame,1519,College,Men,Division I,Great Lakes,East Plains DI,20,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=dzF0Q0Sh%2fxzAAen0nABZnmLlUhLZYmYdhGOL%2bLulo9g%3d
43,Northeastern,1518,College,Men,Division I,New England,Metro Boston DI,20,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=7V5n4lQ6g644dX2N6b85xh3ifWbY8Gogb8M%2fAXRbT4g%3d
44,Air Force,1516,College,Men,Division III,South Central,Rocky Mountain DIII,31,3,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=1dGeFdDE6iTIZOygJ7hX%2bUhxp%2bMbtn2hp3Wzf0s6560%3d
45,Florida State,1502,College,Men,Division I,Southeast,Florida DI,21,20,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=s0vxaqHXRhh6Ah1HfLWkES6xdS0VNufR5i3%2b8aLUI44%3d
46,Georgetown,1501,College,Men,Division I,Atlantic Coast,Colonial DI,26,19,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=PXiqDQoNrN4EWSxRd%2fglGIODesL5OpLghi5WEmrpv2E%3d
47,Marquette,1489,College,Men,Division I,North Central,Lake Superior DI,21,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Mt%2b%2fvUJUCoZN9dEQJBCaYRlAYdFLGaegq66I12ndfBY%3d
48,Temple,1484,College,Men,Division I,Ohio Valley,East Penn DI,24,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=WEloTOW5%2bSj2Cj6fysjkdlYR5Db7QLicdfbhejg5tPU%3d
49,Illinois,1480,College,Men,Division I,Great Lakes,Illinois DI,24,16,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=8KdMUyGieTTE%2f5I3oGTamGGWX6SQ2mVHHrWtpy%2fdJkk%3d
50,Central Florida,1473,College,Men,Division I,Southeast,Florida DI,14,22,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=gtSMAvLxIIewTnKhpo46kd5Ntm%2fuaHXbe%2fmSRiyN7Wo%3d
51,British Columbia,1470,College,Men,Division I,Northwest,Cascadia DI,10,12,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Ledz5iCZM2puXiqpoJFzJFbUXxxqb1Glz3zT%2b1PZzH8%3d
52,Georgia Tech,1467,College,Men,Division I,Southeast,Southern Appalachian DI,19,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Vs5ROVFiYUxVqS5rtSKwg%2bV1qPl7n2P%2fNiBTH6IhCmM%3d
53,James Madison,1465,College,Men,Division I,Atlantic Coast,Virginia DI,21,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=uMlltux%2bjCvUUGEb%2bbQeLqI9XVRNwQqOTm8%2bjknw9JU%3d
54,Illinois State,1448,College,Men,Division I,Great Lakes,Illinois DI,22,16,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=P7X%2bYWvzpUAgAKyUhJ1TkWaTw68zBo4NIP6QZOqRO7E%3d
55,Texas-Dallas,1447,College,Men,Division I,South Central,North Texas DI,22,7,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=r3TpKq5E01Wjw%2b5ab5txC1xxHjeRmeU6bcahfD32uzc%3d
